,player,comp_group,rvap_raw,icr_raw,wpa_raw,n1,n2,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,bowler,team_bowl
5555,shahbaz ahmed,"['Powerplay', 'Middle']",154.71429629929196,39.346714067348074,11.939999999999976,15.0,15.0,15,154.71429629929196,39.346714067348074,11.939999999999976,-0.4996507778201732,-0.94238953404087,0.29055540283302395,0.49335612995643435,68.9119512811832,40.0,1.0,0.3700170974673257,70.1492537313433,Shahbaz Ahmed,Sunrisers Hyderabad
5721,yash dayal,"['Powerplay', 'Death']",175.73897432776099,48.45162252302098,-1.690000000000012,14.0,14.0,14,175.73897432776099,48.45162252302098,-1.690000000000012,-0.3623052608834644,-0.24914506567229425,0.4228126739709833,0.43971956153020497,66.99298835225164,40.0,9.0,0.3240038874433089,68.65671641791045,Yash Dayal,Royal Challengers Bengaluru
6043,cameron green,"['Middle', 'Death']",213.4590944681237,60.39723720614677,-23.04,13.0,13.0,13,213.4590944681237,60.39723720614677,-23.04,-0.12443411418332997,0.4122003095087286,-0.4182899282587207,0.30569668919322635,62.0082202821831,72.72727272727273,4.0,0.22078094219510788,67.16417910447761,Cameron Green,Royal Challengers Bengaluru
6266,yuzvendra chahal,"['Middle', 'Death']",205.07933967228257,51.804085744044656,-73.86999999999998,15.0,15.0,15,205.07933967228257,51.804085744044656,-71.68799999999997,-0.17061461764221486,-0.132195031576986,-1.5341745938713425,0.2892987764733551,61.38236257300299,63.63636363636363,5.0,0.2169740823550163,65.67164179104478,Yuzvendra Chahal,Rajasthan Royals
6621,mitchell starc,"['Powerplay', 'Death']",297.4828718657398,68.03903347750405,-134.72000000000003,13.0,13.0,13,297.4828718657398,68.03903347750405,-129.7914,0.4865341259171581,1.2051561463626657,-1.6625785084232867,0.2731442740585712,60.762884278037774,75.0,10.0,0.19727086459785698,64.17910447761194,Mitchell Starc,Kolkata Knight Riders
6882,bhuvneshwar kumar,['Powerplay'],-114.8594422285588,23.59374349533099,41.83000000000002,16.0,16.0,16,-98.84103828111414,24.554807305378965,38.164300000000026,-2.0765430651065566,-1.5860742811229325,2.017444198009862,0.25004012094970773,59.872183909718565,10.0,4.0,0.1905067588188249,62.68656716417911,Bhuvneshwar Kumar,Sunrisers Hyderabad
7239,glenn maxwell,"['Powerplay', 'Middle']",331.4958197981103,70.52414965903533,-15.569999999999997,6.0,6.0,6,331.4958197981103,70.52414965903533,-15.569999999999997,1.4455838829639378,1.0412740616688339,-0.7115984502181917,0.34626718835731396,63.5429037500161,100.0,2.0,0.1888730118312621,61.19402985074627,Glenn Maxwell,Royal Challengers Bengaluru
7337,swapnil singh,"['Powerplay', 'Middle']",224.4656406271264,61.63550962744664,41.289999999999985,7.0,7.0,7,224.4656406271264,61.63550962744664,41.289999999999985,0.2678657020550423,0.4757345517185149,1.3597380850232534,0.31098008138791255,62.20921179309348,80.0,3.0,0.18140504747628228,59.70149253731343,Swapnil Singh,Royal Challengers Bengaluru
7429,rashid khan,"['Middle', 'Death']",105.43048656480028,39.33253628634106,32.00000000000001,12.0,12.0,12,105.43048656480028,39.33253628634106,32.00000000000001,-0.7197755797133106,-0.922295549511186,0.8442140183643417,0.2340076808227483,59.251049211686535,27.27272727272727,6.0,0.16518189234546937,58.2089552238806,Rashid Khan,Gujarat Titans
7691,hardik pandya,['Middle'],166.00632520372838,58.70516216701394,-43.86000000000002,12.0,12.0,12,166.00632520372838,58.70516216701394,-43.86000000000002,-0.043885408277720576,0.7538848353016471,-0.8220236946847247,0.22438090128044175,58.876953479434405,50.0,6.0,0.15838651855090005,56.71641791044776,Hardik Pandya,Mumbai Indians
