,player,comp_group,rvap_raw,icr_raw,wpa_raw,n1,n2,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,bowler,team_bowl
0,mohammed shami,"['Powerplay', 'Death']",471.07614412838,85.06482460470247,36.63000000000002,16.0,16.0,16,442.30655205449443,83.42980876704229,34.569200000000016,2.292961720701744,1.902736953993867,1.5191842915337772,2.7548367115489447,99.70639283189249,100.0,1.0,2.098923208799196,100.0,Mohammed Shami,Gujarat Titans
367,ravindra jadeja,['Middle'],418.93362612077476,63.14242907113653,128.14999999999998,16.0,16.0,16,418.93362612077476,63.14242907113653,125.73439999999998,1.4964952830204137,0.7709633924116248,1.9942377338007025,2.0304526745506024,97.88447264757886,94.73684210526315,1.0,1.5470115615623636,98.50746268656717,Ravindra Jadeja,Chennai Super Kings
711,mohit sharma,"['Middle', 'Death']",498.9136123965714,68.5002834103773,12.350000000000009,13.0,13.0,13,493.9820511709931,68.5002834103773,12.350000000000009,1.7172836542119783,1.2869038213913764,0.8238785697966359,1.762427201717264,96.10014269556189,100.0,1.0,1.272864090129135,97.01492537313433,Mohit Sharma,Gujarat Titans
934,matheesha pathirana,['Death'],367.0479010548419,67.83036747282577,53.49999999999997,12.0,12.0,12,367.0479010548419,67.83036747282577,51.975999999999964,0.8117286303680672,1.067049751578024,1.0746996855882907,1.7875349857635043,96.30744686159287,85.71428571428571,1.0,1.261789401715415,95.52238805970148,Matheesha Pathirana,Chennai Super Kings
1233,trent boult,['Powerplay'],295.4742489953106,63.44619491325612,45.69999999999999,10.0,10.0,10,295.4742489953106,63.44619491325612,45.69999999999999,0.740624155176858,0.7797587403844197,1.2580316323272083,1.8727893739291268,96.94512620483661,77.77777777777779,1.0,1.2485262492860845,94.02985074626866,Trent Boult,Rajasthan Royals
1464,mohammed siraj,"['Powerplay', 'Death']",291.2661936665952,74.84597561932641,23.75000000000002,13.0,13.0,13,291.2661936665952,74.84597561932641,23.75000000000002,0.9428031589823649,1.3865039155694425,1.3013242823346938,1.7078043161141365,95.61636710182414,94.11764705882352,2.0,1.233414228304654,92.53731343283582,Mohammed Siraj,Royal Challengers Bangalore
1760,piyush chawla,['Middle'],384.45533965631375,69.85544486379746,25.219999999999974,15.0,15.0,15,384.45533965631375,69.85544486379746,25.219999999999974,1.2356943782303331,1.2317821408616214,0.22326096063896592,1.5722529444223565,94.2054049393051,84.21052631578947,2.0,1.1791897083167675,91.04477611940298,Piyush Chawla,Mumbai Indians
2094,yuzvendra chahal,"['Middle', 'Death']",437.2690970768424,69.40861102937494,-46.839999999999996,14.0,14.0,14,437.2690970768424,69.33594481985513,-46.839999999999996,1.34800023191384,1.3598470498395703,-1.1698649927999683,1.5756218441868062,94.24435105735732,88.88888888888889,2.0,1.1609845167692254,89.55223880597015,Yuzvendra Chahal,Rajasthan Royals
2414,rashid khan,['Middle'],390.69195152740275,74.3703517888029,-60.51999999999998,16.0,16.0,16,390.69195152740275,74.3703517888029,-60.51999999999998,1.2828694030240135,1.541710468577433,-1.287403665831343,1.409510566572683,92.06578743916258,89.47368421052632,4.0,1.073912812626806,88.05970149253731,Rashid Khan,Gujarat Titans
2789,noor ahmad,['Middle'],376.8169242111759,64.40675031054893,67.69000000000001,13.0,13.0,13,376.8169242111759,64.40675031054893,67.69000000000001,1.1779158206646063,0.8577534356916849,0.9715456199134482,1.4240633823011484,92.27859374113297,78.94736842105263,3.0,1.0284902205508293,86.56716417910447,Noor Ahmad,Gujarat Titans
3088,ishant sharma,['Powerplay'],344.71946337577486,74.85532203986793,88.65000000000002,8.0,8.0,8,344.71946337577486,74.2265802830081,85.21400000000001,1.0984780478968088,1.387525566500718,2.079630939768059,1.608894596643534,94.61803043988614,88.88888888888889,2.0,0.9900889825498671,85.07462686567165,Ishant Sharma,Delhi Capitals
3239,bhuvneshwar kumar,"['Powerplay', 'Death']",265.36180186729086,60.440004191246075,2.2200000000000237,14.0,14.0,14,265.36180186729086,60.440004191246075,2.2200000000000237,0.7112422917594354,0.5201265904519027,0.8677870524049147,1.3194174520126911,90.64852047743764,82.35294117647058,3.0,0.9722023330619829,83.5820895522388,Bhuvneshwar Kumar,Sunrisers Hyderabad
3555,varun chakravarthy,"['Powerplay', 'Middle', 'Death']",338.7992615227096,64.24449100073056,59.369999999999955,13.0,13.0,13,338.7992615227096,64.24449100073056,59.369999999999955,0.7071067811865476,0.7071067811865476,0.7071067811865476,1.1313708498984762,87.10504823538304,100.0,1.0,0.8171011693711218,82.08955223880598,Varun Chakravarthy,Kolkata Knight Riders
